"","event_id","sex_female","n_female","mean_HSI_female","sd_HSI_female","sex_male","n_male","mean_HSI_male","sd_HSI_male"
"1","E1","F",19,1.79364469265311,0.724223834102137,"M",1,2.59259259259259,NA
"2","E2","F",13,1.63295160724319,1.02006297192833,"M",7,1.08202057361289,0.650495126146761
"3","E3","F",15,1.43817721903021,0.823706032829916,"M",4,1.88043165984342,0.55035162514273
"4","E4","F",11,1.72010218598997,0.911606752215336,"M",9,1.42277355332051,0.649012043919916
"5","E5","F",9,1.42541791650089,0.488393947890371,"M",11,1.63538234767715,2.2524807627966
"6","E6","F",8,2.07615311770197,0.926533257264162,"M",12,1.1674192405294,0.398818089829865
"7","E7","F",9,0.744269829699661,0.4052082698318,"M",9,0.807373102231656,0.225754169792603
"8","E8","F",13,1.0678602453535,0.47035400777909,"M",6,1.3788665038665,0.846485557309795
"9","E9","F",10,1.9727607336303,2.13581564576653,"M",10,1.58075843313144,1.04453473406881
"10","E10","F",9,0.759582677854177,0.382497539791757,"M",11,1.28002521985969,0.737730468233403
"11","E11","F",6,1.26708547761179,0.726138741579661,"M",14,1.08874187107709,0.685318857032116
"12","E12","F",8,1.13395883173844,0.901915547056157,"M",12,1.34382930548378,0.737872352507672
"13","E13","F",9,1.21139362420418,0.391461270763253,"M",11,0.979605169728228,0.348674991201147
"14","E14","F",12,1.05372778892143,0.254088133154581,"M",7,0.730363426900709,0.308609067541204
"15","E15","F",9,1.57087082595213,1.19760418428796,"M",3,0.734879155931787,0.19368588759039
"16","E16","F",13,2.01873622785074,1.3448224051068,"M",7,1.72229703387339,0.902988616081499
"17","E17","F",12,1.56983656493504,0.745000958136203,"M",7,1.58157009930409,0.475084168622679
"18","E18","F",6,1.47966767531985,0.56622870206635,"M",14,0.92698854348576,0.475457047720954
"19","E19","F",6,3.28669407299798,4.53212402468808,"M",14,1.35244884769187,0.621126663810655
"20","E20","F",6,0.921670117322291,0.523279757582233,"M",12,1.20211407032061,0.754558491683537
"21","E21","F",8,0.842606543675623,0.422426474887018,"M",12,0.753022086476544,0.442323631764646
"22","E22","F",16,1.77566083599267,1.15260360804452,"M",4,0.92032967032967,0.339816397715741
"23","E23","F",10,2.53496819473321,2.50138582963013,"M",6,1.23301844354476,0.530110418213797
"24","E24","F",6,1.05859671988704,0.651781856078041,"M",3,1.1301044634378,0.399199421785066
